gene_names,CRISPRa_phenotype
ABLIM3,-0.033694668
ABO,0.112960191
ABR,-0.015102925
ABRA,0.016842011
ABRACL,-0.015805935
ABT1,-0.021836735
ABTB1,0.004331301
ABTB2,0.082223293
ACAA1,0.015295265
ACAA2,0.035011797
ACACA,0.041494599
ACACB,-0.011986777
ACAD10,0.046450022
ACAD11,-0.071455697
ACAD8,-0.016590251
ACAD9,-0.018830348
ACADL,-0.048004592
ACADM,0.027115172
ACADS,0.028632994
ACADSB,0.01417967
ACADVL,-0.05821444
ACAN,0.095978721
ACAP1,0.011003513
ACAP2,0.015995994
ACAP3,-0.064087332
ACAT1,0.050415574
ACAT2,-0.004912304
ACBD3,-0.04994884
ACBD4,-0.089776483
ACBD5,0.105180783
ACBD6,0.021160489
ACBD7,-0.022613952
ACCS,0.062069559
ACD,0.040588716
ACE,-0.021922749
ACE2,0.017856805
ACER1,-0.030156175
ACER2,0.122230394
ACER3,-0.029588936
ACHE,0.071591588
ACIN1,0.022487554
ACKR2,-0.040811954
ACLY,0.145794996
ACN9,0.004692164
ACO1,0.011475303
ACO2,-0.016690683
ACOT1,0.000614712
ACOT11,-0.104445071
ACOT12,-0.076758056
ACOT13,-0.019211255
ACOT2,0.054087984
ACOT4,0.018782163
ACOT6,0.003775826
ACOT7,-0.040754451
ACOT8,0.042949656
ACOT9,0.103740327
ACOX1,0.021931879
ACOX2,-0.066256025
ACOX3,-0.040003259
ACOXL,0.015358176
ACP1,-0.022536445
ACP2,0.06725413
ACP5,0.120481567
ACP6,0.053196231
ACPL2,-0.00568514
ACPP,-0.047770824
ACPT,0.07812938
ACR,-0.042086503
ACRBP,0.02063803
ACRC,-0.156776649
ACSBG1,-0.02654576
ACSBG2,-0.007494656
ACSF2,0.00272181
ACSF3,-0.013872856
ACSL1,-0.034665091
ACSL3,-0.065541995
ACSL4,-0.08651755
ACSL5,0.028430806
ACSL6,0.026907969
ACSM1,-0.031815228
ACSM2A,0.048975183
ACSM2B,0.033522145
ACSM3,0.04969629
ACSM4,0.047369034
ACSM5,0.004207568
ACSS1,0.111343919
ACSS2,0.020328783
ACSS3,0.108845972
ACTA1,-0.001999309
ACTA2,0.019875928
ACTB,-0.046814016
ACTBL2,0.009651455
ACTC1,-0.003335445
ACTG1,-0.089366941
ACTG2,0.018519222
ACTL6A,0.04850124
ACTL6B,0.014762175
ACTL7A,0.092239713
ACTL7B,0.091459463
ACTL8,0.03778254
ACTN1,-0.125896661
ACTN2,0.132588933
ACTN3,-0.052260997
ACTN4,-0.005839901
ACTR10,-0.03278269
ACTR1A,-0.000704127
ACTR1B,0.039937183
ACTR2,-0.025555532
ACTR3,-0.012491245
ACTR3B,0.008202537
ACTR3C,-0.027724733
ACTR5,-0.003133079
ACTR6,-0.03305176
ACTR8,0.053185586
ACTRT1,0.01611407
ACTRT2,-0.024402393
ACTRT3,-0.024947243
ACVR1,0.079682554
ACVR1B,-0.109190068
ACVR1C,0.068892926
ACVR2A,0.207513456
ACVR2B,0.050198494
ACVRL1,0.072229472
ACY1,-0.081863803
ACY3,-0.017716717
ACYP1,-0.044626131
ACYP2,0.017397501
ADA,0.044501373
ADAD1,-0.020030485
ADAD2,0.046169313
ADAL,-0.011916682
ADAM10,-0.009808813
ADAM11,0.01788493
ADAM12,-0.053628201
ADAM15,0.060082989
ADAM17,0.072344385
ADAM18,-0.077993059
ADAM19,0.003756658
ADAM2,0.045530127
ADAM20,0.00490627
ADAM21,0.044597877
ADAM22,0.048626346
ADAM23,0.015606633
ADAM28,0.020723355
ADAM29,0.001265164
ADAM30,-0.007113326
ADAM32,0.049183095
ADAM33,0.114513133
ADAM7,0.070446962
ADAM8,0.067121381
ADAM9,0.024637659
ADAMDEC1,-0.011231378
ADAMTS1,0.011289238
ADAMTS10,0.024680818
ADAMTS12,0.036459101
ADAMTS13,-0.039994059
ADAMTS14,-0.015806157
ADAMTS15,-0.054170701
ADAMTS16,0.123627716
ADAMTS17,-0.014749335
ADAMTS18,0.047559904
ADAMTS19,0.055068472
ADAMTS2,0.015016504
ADAMTS20,0.065023463
ADAMTS3,0.00824145
ADAMTS4,0.06842968
ADAMTS5,0.031116745
ADAMTS6,0.121725782
ADAMTS7,0.024901044
ADAMTS8,-0.016310045
ADAMTS9,0.103924407
ADAMTSL1,0.030361257
ADAMTSL3,0.053239482
ADAMTSL4,-0.046297267
ADAMTSL5,-0.007605294
ADAP1,0.02053894
ADAP2,0.067535911
ADAR,0.029684611
ADARB1,0.04131048
ADARB2,0.015766599
ADAT1,0.003273284
ADAT2,0.023213708
ADAT3,0.06386741
ADC,-0.018192179
ADCK1,0.03261024
ADCK2,0.024373927
ADCK3,-0.034791457
ADCK4,0.040027614
ADCK5,0.113502772
ADCY1,0.133838763
ADCY10,0.043375685
ADCY2,0.022438398
ADCY3,0.019293181
ADCY4,0.019732168
ADCY5,-0.075357826
ADCY6,-0.018529498
ADCY7,-0.07099127
ADCY8,-0.042450276
ADCY9,-0.038975345
ADCYAP1,0.037988046
ADD1,-0.02269957
ADD2,-0.063946853
ADD3,-0.105747265
ADH1A,0.02962307
ADH1B,0.033546505
ADH1C,0.041310914
ADH4,0.007418139
ADH5,-0.049403169
ADH6,0.038010975
ADH7,-0.027982001
ADHFE1,-0.013824048
ADI1,-0.019199821
ADIPOQ,0.008378489
ADIPOR1,0.08165345
ADIPOR2,0.070152758
ADIRF,-0.000622608
ADK,-0.002411913
ADM,0.24783193
ADM2,-0.007513458
ADM5,-0.000170882
ADNP,-0.039218706
ADNP2,-0.069680131
ADO,0.070488429
ADORA1,-0.010340654
ADORA2A,0.015657665
ADORA2B,-0.043149476
ADORA3,0.011293224
ADPRH,0.009300345
ADPRHL1,0.017803079
ADPRHL2,-0.057553729
ADPRM,0.007484861
ADRA1A,0.094556294
ADRA1B,-0.009730021
ADRA1D,-0.034440136
ADRA2A,-0.038050124
ADRA2B,0.063280475
ADRA2C,-0.008794427
ADRB1,0.012133014
ADRB2,-0.071786846
ADRB3,0.006753676
ADRBK1,-0.0146702
ADRBK2,0.035090835
ADRM1,0.07274769
ADSL,-0.055906763
ADSS,-0.03035293
ADSSL1,-0.001514641
ADTRP,-0.051838777
AEBP1,-0.045592843
AEBP2,0.023714914
AEN,0.027299813
AES,0.011754678
AFAP1,0.078776664
AFAP1L2,-0.035923042
AFF1,0.033859507
AFF3,-0.031621524
AFF4,-0.128982817
AFG3L2,-0.135392376
AFM,0.028444218
AFMID,-0.034136326
AFP,0.006084179
AFTPH,-0.060867256
AGA,0.009027191
AGAP1,-0.054464498
AGAP11,0.053576629
AGAP2,0.031816426
AGAP3,-0.029943447
AGAP4,0.019188773
AGAP5,-0.053814867
AGAP6,-0.096089933
AGBL1,-0.050421703
AGBL2,0.004005946
AGBL3,0.072912325
AGBL4,0.020650158
AGBL5,-0.043094971
AGFG1,0.031472224
AGFG2,-0.026552401
AGGF1,0.037776745
AGK,0.046258402
AGL,-0.015060311
AGMAT,-0.093421558
AGMO,0.00997705
AGO1,0.071579362
AGO2,-0.000300681
AGO3,-0.007014038
AGO4,-0.050477717
AGPAT1,-0.109082276
AGPAT2,0.068331285
AGPAT3,0.099752036
AGPAT4,0.105610099
AGPAT5,0.063796905
AGPAT6,-0.015456047
AGPAT9,-0.017982754
AGPS,-0.00552461
AGR2,0.027204554
AGRN,-0.024515197
AGT,0.038951624
AGTPBP1,-0.106354487
AGTR1,-0.018911068
AGTR2,0.003030118
AGTRAP,0.063451097
AGXT,-0.019849155
AGXT2,0.007017107
AHCTF1,0.068895679
AHCY,0.06028266
AHCYL1,-0.004426353
AHCYL2,0.021556749
AHDC1,0.026452674
AHI1,-0.09350893
AHNAK,0.049552519
AHNAK2,-0.010040225
AHR,-0.023835943
AHRR,-0.013081159
AHSA1,-0.015799714
AHSA2,-0.007871477
AHSG,0.008663335
AHSP,0.012175095
AICDA,0.057331579
AIDA,0.022520037
AIF1,-0.002731918
AIF1L,0.098363823
AIFM1,-0.043259115
AIFM2,5.57E-05
AIFM3,0.04322895
AIG1,0.032768478
AIM1,-0.02757675
AIM1L,-0.049565315
AIM2,-0.003269794
AIMP1,-0.016594794
AIMP2,0.141999719
AIP,0.029254854
AIPL1,0.012352909
AIRE,-0.07196454
AJUBA,0.020174388
AK1,-0.024753249
AK2,0.024140357
AK3,0.039880477
AK4,0.059251665
AK5,-0.01099149
AK7,0.112240386
AK8,0.062906717
AK9,-0.027727355
AKAP1,-0.057386574
AKAP10,0.071372916
AKAP11,0.0004178
AKAP12,0.016593936
AKAP13,0.086935221
AKAP14,0.040145777
AKAP17A,-0.03694978
AKAP2,0.051728031
AKAP3,0.032192127
AKAP4,0.027966984
AKAP5,-0.012986235
AKAP6,0.010052929
AKAP7,-0.024044761
AKAP8,0.071932378
AKAP8L,0.002250363
AKAP9,0.06131059
AKIP1,-0.101715155
AKIRIN1,-0.001379444
AKIRIN2,-0.02022468
AKNA,-0.012048826
AKR1A1,0.034920178
AKR1B1,0.036533781
AKR1B10,0.023384267
AKR1B15,-0.010691319
AKR1C1,0.096543175
AKR1C2,0.118659941
AKR1C3,0.004239182
AKR1C4,0.01851744
AKR1D1,0.016621755
AKR1E2,-0.02547383
AKR7A2,0.063108228
AKR7A3,0.050800278
AKT1,0.026616403
AKT1S1,0.129973569
AKT2,0.093594614
AKT3,-0.008217748
AKTIP,0.04167701
ALAD,0.069415195
ALAS1,-0.078254638
ALAS2,-0.047399497
ALB,0.049972088
ALCAM,0.13887757
ALDH16A1,0.002927637
ALDH18A1,0.057028417
ALDH1A1,-0.045016628
ALDH1A2,0.077952914
ALDH1A3,-0.044342025
ALDH1B1,0.019292633
ALDH1L1,0.047695262
ALDH1L2,-0.074601616
ALDH2,0.036228696
ALDH3A1,-0.018863411
ALDH3A2,-0.081750447
ALDH3B1,0.037440389
ALDH3B2,-0.024076299
ALDH4A1,-0.039926341
ALDH5A1,0.003666881
ALDH6A1,-0.013658441
ALDH7A1,0.055291144
ALDH8A1,0.018543802
ALDH9A1,-0.186522265
ALDOA,-0.00938614
ALDOB,0.035750399
ALDOC,0.106936443
ALG1,0.030079552
ALG10,-0.036742673
ALG10B,0.01046006
ALG11,-0.029985171
ALG12,-0.003237196
ALG13,0.023450283
ALG14,-0.057837592
ALG1L,-0.001038652
ALG2,0.015449307
ALG3,0.055915494
ALG5,0.015438599
ALG6,-0.003844281
ALG8,-0.018098382
ALG9,-0.053973861
ALK,0.071454746
ALKBH1,-0.012531053
ALKBH2,0.115875785
ALKBH3,-0.0640642
ALKBH4,-0.115229057
ALKBH5,0.008948292
ALKBH6,0.043455456
ALKBH7,-0.013810273
ALKBH8,-0.009816109
ALLC,-0.059501656
ALMS1,-0.009178139
ALOX12,-0.01057156
ALOX12B,-0.050337876
ALOX15,0.059012979
ALOX15B,0.023693059
ALOX5,0.032194655
ALOX5AP,-0.020625744
ALPI,0.004760772
ALPK1,0.017062963
ALPK2,0.072965509
ALPK3,-0.011958962
ALPL,0.024595195
ALPP,-0.010842903
ALPPL2,-0.026253234
ALS2,-0.044734022
ALS2CL,0.05790866
ALS2CR12,-0.002114675
ALX1,0.023824322
ALX3,-0.019191273
ALX4,0.090830368
ALYREF,0.034163189
AMACR,-0.008213872
AMBP,0.042400695
AMBRA1,0.084167285
AMD1,0.121440972
AMDHD1,0.045778769
AMDHD2,0.042131508
AMELX,-0.003628884
AMER1,-0.038901088
AMER2,0.122164102
AMFR,-0.073848324
AMH,-0.007130987
AMHR2,-0.024922809
AMICA1,0.036935782
AMIGO1,-0.014965431
AMIGO2,-0.191921449
AMIGO3,-0.033843778
AMMECR1,0.077444864
AMMECR1L,0.081775064
AMN,0.099583289
AMN1,0.021076737
AMOTL1,-0.078099337
AMOTL2,0.05715645
AMPD1,0.028569739
AMPD2,-0.081123249
AMPD3,0.05851739
AMPH,-0.039153033
AMT,0.036342908
AMY1A,0.015068351
AMY2A,0.00858568
AMY2B,0.020188478
AMZ1,-0.045463094
AMZ2,0.078837194
ANAPC1,-0.019663308
ANAPC10,-0.133684541
ANAPC11,0.028269811
ANAPC13,-0.007760813
ANAPC15,-0.063896279
ANAPC16,-0.018154029
ANAPC2,0.13640166
ANAPC4,-0.039488148
ANAPC5,0.029340026
ANAPC7,0.041615443
ANG,0.029216211
ANGEL1,0.022057475
ANGEL2,-0.064387599
ANGPT1,0.060898094
ANGPT2,0.000755371
ANGPTL1,-0.038704258
ANGPTL3,0.040820871
ANGPTL4,0.015424553
ANGPTL6,-0.110845792
ANK1,0.068655378
ANK2,0.021094651
ANK3,0.025797031
ANKAR,0.021208965
ANKDD1A,-0.031006554
ANKEF1,-0.008262141
ANKFY1,0.04132945
ANKH,0.033982915
ANKHD1,0.0181126
ANKHD1-EIF4EBP3,0.026458117
ANKIB1,-2.77E-05
ANKK1,-0.004677351
ANKLE1,0.001154904
ANKLE2,0.042086739
ANKMY1,0.085992106
ANKMY2,0.016799954
ANKRA2,0.036562587
ANKRD1,-0.077315816
ANKRD10,0.028396423
ANKRD11,-0.038871416
ANKRD12,-0.052090994
ANKRD13A,-0.019708883
ANKRD13B,-0.197612883
ANKRD13C,-0.009660855
ANKRD13D,0.003888535
ANKRD16,0.020431478
ANKRD17,0.137741672
ANKRD22,-0.033370392
ANKRD23,0.004507233
ANKRD24,-0.065920639
ANKRD26,-0.008100134
ANKRD27,0.064939884
ANKRD28,0.083874612
ANKRD30A,0.045738819
ANKRD31,0.039968068
ANKRD32,-0.017349414
ANKRD33,-0.017283261
ANKRD33B,0.007467045
ANKRD34A,-0.032745747
ANKRD34B,0.093378789
ANKRD35,0.039696848
ANKRD36,0.018641743
ANKRD36B,0.02496203
ANKRD37,0.020108831
ANKRD39,0.003586277
ANKRD40,-0.031522502
ANKRD42,-0.118376583
ANKRD44,0.065134216
ANKRD45,0.038028156
ANKRD46,0.015516124
ANKRD49,-0.026630835
ANKRD50,0.029526457
ANKRD52,-0.025366982
ANKRD54,0.068649143
ANKRD55,0.003061967
ANKRD6,0.083587281
ANKRD60,-0.023877101
ANKRD63,0.018633431
ANKRD7,0.005947012
ANKRD9,0.087512731
ANKS1A,0.064837333
ANKS1B,0.016690569
ANKS3,-0.061165269
ANKS6,0.035587546
ANKZF1,-0.015271867
ANLN,0.001139037
ANO10,-0.016631276
ANO3,0.105475762
ANO5,0.114245199
ANO6,0.037998759
ANO7,0.005735122
ANO8,0.077463649
ANO9,0.04531013
ANP32A,0.154981075
ANP32B,0.041244828
ANP32C,0.01410357
ANP32D,0.009734844
ANP32E,-0.065740189
ANPEP,0.187240409
ANTXR1,0.008245089
ANTXR2,-0.027204344
ANXA1,-0.07839636
ANXA10,-0.068161298
ANXA11,-0.004417642
ANXA2,-0.070463825
ANXA2R,0.026797051
ANXA3,-0.027081274
ANXA4,-0.005775096
ANXA5,0.048460874
ANXA6,0.044456444
ANXA7,-0.018542301
ANXA8,0.044622509
ANXA9,0.011457688
AOAH,0.082614956
AOC2,0.008867995
AOC3,0.061163003
AOX1,0.047018709
AP1AR,0.039025702
AP1B1,-0.219475786
AP1G1,-0.015507117
AP1G2,-0.046668796
AP1M1,0.006389328
AP1M2,-0.025511105
AP1S1,0.044643453
AP1S2,-0.009687525
AP1S3,0.005566013
AP2A1,-0.070168602
AP2A2,0.006202654
AP2B1,0.008352582
AP2M1,0.008128522
AP2S1,0.051366907
AP3B1,0.00309126
AP3B2,0.04228829
AP3D1,0.009730914
AP3M1,0.017277929
AP3M2,0.035010732
AP3S1,-0.092349687
AP3S2,0.056664484
AP4B1,-0.096162823
AP4E1,0.000973069
AP4M1,0.024666609
AP4S1,0.011963484
AP5B1,0.012301708
AP5M1,0.076980036
AP5S1,-0.140757739
AP5Z1,0.011343123
APAF1,-0.001218695
APBA1,-0.080275631
APBA2,-0.01159766
APBA3,0.010827987
APBB1,0.083079337
APBB1IP,0.024476757
APBB2,-0.027039289
APBB3,0.109826097
APC,0.078184911
APC2,-0.026553679
APCDD1L,-0.014936602
APCS,-0.025845409
APEH,0.003451392
APEX1,0.059055381
APEX2,0.030474441
APH1A,0.006923435
APH1B,-0.088920107
API5,0.035123809
APIP,0.04868873
APITD1,0.025379596
APLF,0.03844512
APLN,-0.02303452
APLNR,0.008454409
APLP1,-0.003028371
APLP2,0.058707267
APMAP,-0.013609344
APOA1,-0.089162416
APOA1BP,0.009288651
APOA2,0.08221424
APOA4,0.032917446
APOA5,-0.033678089
APOB,0.083606961
APOBEC1,0.014406596
APOBEC2,0.009360321
APOBEC3A,0.014413628
APOBEC3B,0.007191035
APOBEC3C,-0.118734861
APOBEC3D,-0.08284446
APOBEC3F,0.078185911
APOBEC3G,-0.040669036
APOBEC4,-0.001087641
APOBR,0.008896528
APOC1,0.058580146
APOC2,0.011409315
APOC3,0.037183312
APOC4,0.235937282
APOD,-0.014758001
APOE,0.012709348
APOF,0.005092071
APOH,0.008037086
APOL1,-0.021868604
APOL2,-0.021914133
APOL3,0.063554365
APOL4,-0.020589961
APOL5,0.057196088
APOL6,-0.016608623
APOLD1,0.082864065
APOM,-0.063585535
APOO,-0.008265774
APOOL,0.028657312
APOPT1,-0.075825245
APP,-0.019149479
APPBP2,0.027924773
APPL1,-0.12870631
APPL2,-0.030388551
APRT,0.044139074
APTX,0.069246045
AQP1,0.008879358
AQP10,0.057953051
AQP11,0.063137336
AQP2,-0.028939782
AQP3,0.025466698
AQP6,-0.06322732
AQP8,0.020412948
AQPEP,-0.030155344
AQR,0.024515118
AR,0.02500608
ARAF,0.01334215
ARAP1,0.026919927
ARAP2,0.088333946
ARAP3,0.023281234
ARC,0.026625524
ARCN1,0.049945232
AREG,0.056485258
AREL1,-0.118160569
ARF1,0.047704021
ARF3,0.054575938
ARF4,0.097981101
ARF5,0.122922912
ARF6,-0.018671826
ARFGAP1,-0.015306366
ARFGAP2,0.022801692
ARFGAP3,0.039472316
ARFGEF1,0.021589361
ARFGEF2,-0.065800353
ARFIP1,0.161224329
ARFIP2,-0.053395905
ARFRP1,-0.092319224
ARG1,-0.014719153
ARG2,0.006692235
ARGFX,0.005878628
ARGLU1,-0.056969393
ARHGAP1,0.007507093
ARHGAP10,0.02151055
ARHGAP11A,-0.001690187
ARHGAP11B,-0.006390953
ARHGAP12,-0.009444948
ARHGAP15,-0.010461281
ARHGAP17,0.069328457
ARHGAP18,0.00208389
ARHGAP19,0.037443658
ARHGAP20,0.050944469
ARHGAP21,0.031223644
ARHGAP22,-0.01026826
ARHGAP23,0.047029752
ARHGAP24,0.030124785
ARHGAP25,0.039739369
ARHGAP26,0.074208295
ARHGAP27,-0.007616179
ARHGAP28,-0.035285348
ARHGAP29,0.052995855
ARHGAP30,0.097203399
ARHGAP31,-0.022208938
ARHGAP32,-0.000153282
ARHGAP33,0.077673168
ARHGAP35,-0.003248206
ARHGAP39,0.037403096
ARHGAP4,0.012057523
ARHGAP40,0.02911486
ARHGAP42,-0.001722108
ARHGAP44,0.034916417
ARHGAP5,-0.093249474
ARHGAP6,-0.081470048
ARHGAP8,-0.025674179
ARHGAP9,0.049777738
ARHGDIA,-0.142313167
ARHGDIB,-0.012946377
ARHGDIG,-0.10792346
ARHGEF1,-0.006523104
ARHGEF10,-0.106670304
ARHGEF10L,0.126201603
ARHGEF11,-0.064018159
ARHGEF12,-0.014378052
ARHGEF15,0.021877256
ARHGEF16,-0.013368
ARHGEF17,0.1886817
ARHGEF18,-0.049438027
ARHGEF19,0.022598711
ARHGEF2,0.004130452
ARHGEF25,0.034780672
ARHGEF28,0.013556454
ARHGEF3,-0.039918349
ARHGEF37,0.061587873
ARHGEF38,-0.024891385
ARHGEF39,0.020214602
ARHGEF4,0.01239062
ARHGEF40,0.064360951
ARHGEF5,-0.060818201
ARHGEF6,0.039886456
ARHGEF7,-0.049085382
ARHGEF9,-0.080666308
ARID1A,-0.237445157
ARID1B,-0.046139326
ARID2,-0.170616441
ARID3A,-0.118715235
ARID3B,0.06560454
ARID3C,-0.02088678
ARID4A,0.115024049
ARID4B,0.149133687
ARID5A,0.017157036
ARID5B,0.066621265
ARIH1,0.018882102
ARIH2,-0.014148817
ARIH2OS,-0.02442055
ARL1,-0.083762407
ARL11,0.02496314
ARL13B,0.045826713
ARL14,0.031021828
ARL14EP,0.012405609
ARL15,-0.017823822
ARL16,0.02552656
ARL17A,-0.000310673
ARL2,-0.018183037
ARL2BP,-0.020865677
ARL3,0.042159078
ARL4A,-0.015487412
ARL4C,-0.037153728
ARL4D,-0.003319746
ARL5A,-0.000640874
ARL5B,0.111884453
ARL5C,-0.114692527
ARL6,0.020002762
ARL6IP1,0.037337453
ARL6IP4,0.055146752
ARL6IP5,0.028058154
ARL6IP6,-0.063879679
ARL8A,-0.000920355
ARL8B,0.029971135
ARL9,-0.033361786
ARMC1,-0.059934187
ARMC10,0.130251936
ARMC12,-0.02362024
ARMC2,-0.010902851
ARMC4,-0.010330272
ARMC5,-0.018041081
ARMC6,-0.01643505
ARMC7,-0.085956661
ARMC8,0.017731747
ARMC9,0.010772319
ARMCX1,0.041951822
ARMCX2,0.08117142
ARMCX3,0.047312319
ARMCX5,0.131729696
ARMCX5-GPRASP2,0.019430207
ARMCX6,0.083582154
ARMS2,0.02372001
ARNT,0.0155123
ARNT2,-0.018763703
ARNTL,0.002524678
ARNTL2,0.059054677
ARPC1A,0.025098673
ARPC1B,0.050872861
ARPC2,0.003531008
ARPC3,0.052002098
ARPC4,0.038588049
ARPC4-TTLL3,-0.00388752
ARPC5,0.028082598
ARPC5L,-0.080597547
ARPP19,0.028146836
ARR3,0.046174887
ARRB1,0.082660638
ARRB2,0.041613848
ARRDC1,0.039445042
ARRDC2,-0.012664533
ARRDC3,0.133662969
ARRDC4,0.015347759
ARSA,-0.030948682
ARSB,-0.008112292
ARSD,0.020066245
ARSE,0.058278722
ARSG,0.03088412
ARSJ,0.000551557
ARSK,0.041470366
ART1,-0.021068556
ART5,-0.00655147
ARTN,0.041081907
ARV1,0.002943227
ARVCF,-0.037377254
ARX,0.051167742
AS3MT,-0.092844999
ASAH1,-0.044821285
ASAH2,-0.011619759
ASAH2B,0.067050384
ASAP1,0.036492694
ASAP2,0.05595704
ASAP3,0.069182245
ASB1,-0.047351602
ASB10,-0.023254346
ASB11,-0.010677495
ASB12,-0.062238998
ASB13,-0.008543062
ASB14,0.017803169
ASB15,0.032267195
ASB16,0.03605093
ASB17,-0.010557655
ASB18,-0.166815915
ASB2,-0.01357279
ASB3,-0.077787816
ASB4,-0.016413924
ASB5,0.020491012
ASB6,-0.086943262
ASB7,0.065811796
ASB8,-0.013791113
ASB9,0.003748479
ASCC1,-0.049164864
ASCC2,-0.019976776
ASCC3,-0.079080856
ASCL1,-0.006938028
ASCL2,0.067373193
ASCL3,0.008093737
ASCL4,-0.011241189
ASCL5,0.065060137
ASF1A,-0.171979388
ASF1B,0.024176457
ASGR1,0.018741488
ASGR2,0.034999001
ASH1L,0.113093684
ASH2L,0.029351319
ASIC1,-0.006501236
ASIC3,0.074766165
ASIP,0.015633842
ASL,-0.004565955
ASMT,4.00E-05
ASMTL,0.017853198
ASNA1,0.060524354
ASNS,0.077428958
ASNSD1,-0.028956858
ASPA,0.00595866
ASPH,0.009875037
ASPHD1,-0.052957664
ASPHD2,-0.033099514
ASPM,-0.035617694
ASPRV1,-0.01278402
ASPSCR1,-0.035743673
ASRGL1,-0.062464079
ASS1,0.081000444
ASTE1,-0.050535773
ASTL,-0.020396901
ASTN1,-0.066281838
ASTN2,0.075650622
ASUN,-0.076137463
ASXL1,-0.034894421
ASXL2,0.020616464
ASZ1,-0.021375795
ATAD1,-0.056166288
ATAD2,-0.020671122
ATAD2B,0.011453015
ATAD3A,-0.020498168
ATAD3B,0.042898459
ATAD3C,0.033169146
ATAD5,-0.03876246
ATAT1,-0.012034416
ATCAY,0.079262198
ATE1,0.033906857
ATF1,-0.037830466
ATF2,0.142150669
ATF3,0.046198709
ATF4,0.003998591
ATF5,-0.002240343
ATF6,-0.030833509
ATF6B,-0.015879495
ATF7,0.019561911
ATF7IP,-0.101197322
ATF7IP2,0.018181915
ATG10,0.022251517
ATG12,0.021787371
ATG13,-0.02577821
ATG14,0.044997215
ATG16L1,-0.056734491
ATG16L2,0.027604059
ATG2A,0.045603945
ATG2B,0.038844497
ATG3,0.030147719
ATG4A,0.000524635
ATG4B,0.061850077
ATG4C,0.012074787
ATG4D,0.050707292
ATG5,-0.020126694
ATG7,0.02995831
ATG9A,0.017470239
ATG9B,0.056070047
ATHL1,0.136711787
ATIC,0.019189667
ATL1,0.209514908
ATL2,-0.022112351
ATL3,0.030784744
ATM,-0.071870354
ATMIN,0.049425842
ATN1,0.015463323
ATOH1,0.015219425
ATOH7,0.019903392
ATOH8,0.029723212
ATOX1,0.02473836
ATP10B,-0.044410097
ATP10D,-0.012794682
ATP11A,0.016223816
ATP11B,0.009956707
ATP11C,0.017038662
ATP13A1,0.001443586
ATP13A2,0.002239417
ATP13A3,-0.028029535
ATP1A1,-0.016356223
ATP1A2,0.023375067
ATP1A3,-0.179523683
ATP1A4,-0.020409394
ATP1B1,0.007428908
ATP1B2,0.014529832
ATP1B3,0.03977658
ATP2A1,0.015837718
ATP2A2,-0.096502608
ATP2A3,-0.011278721
ATP2B1,0.028186837
ATP2B2,0.036084096
ATP2B3,-0.032824494
ATP2B4,0.041284475
ATP2C1,-0.082676398
ATP4A,0.052145273
ATP5A1,0.028672318
ATP5B,0.053812677
ATP5C1,0.026831551
ATP5D,-0.024915379
ATP5E,-0.046856189
ATP5F1,0.092440095
ATP5G1,-0.129938449
ATP5G2,-0.010542992
ATP5G3,-0.045508136
ATP5H,-0.090561488
ATP5I,-0.036352364
ATP5J,0.090569047
ATP5J2,-0.045819747
ATP5J2-PTCD1,0.023489819
ATP5L,0.10042157
