Gene,positivePosteriorProb,negativePosteriorProb,FDR
ALDH1A3,0.122507526,0.196233125,0.32688737
ALDH2,0.040853702,0.181476592,0.459451481
ALDH3B2,0.023005274,0.093056003,0.678446546
ALDH6A1,0.046725766,0.192699537,0.43405303
ALDH7A1,0.028018643,0.088178723,0.6780254
ALDOA,0.015541654,0.040232513,0.787144398
ALDOB,0.025722449,0.062976697,0.765739938
ALDOC,0.022104245,0.071756064,0.751217106
ALG12,0.03378271,0.159769542,0.504132023
ALKBH2,0.031103627,0.150204355,0.524993589
ALKBH3,0.026588929,0.076064668,0.721507371
ALMS1,0.027153894,0.079750322,0.707660435
ALOX12,0.036301122,0.186962157,0.458044655
ALOX15B,0.028579408,0.106067156,0.62534422
ALOX15,0.051643842,0.1070544,0.57130769
ALPP,0.026335145,0.071102227,0.738946706
ALS2,0.04196713,0.392756462,0.222591425
AMBP,0.034660166,0.201276832,0.439636366
AMD1,0.098719143,0.553765865,0.081835048
AMER1,0.028361857,0.102913267,0.634679509
AMER2,0.018867875,0.043116532,0.78555588
AMFR,0.025940944,0.066856151,0.754403053
AMH,0.336619162,0.073168665,0.24315769
AMPD1,0.027752749,0.093264597,0.662667414
AMPD2,0.01837557,0.03767553,0.787104937
AMPD3,0.018949048,0.044501724,0.785062817
ANAPC10,0.027188136,0.081745461,0.701067569
ANAPC11,0.016490019,0.050061191,0.7834995
ANAPC13,0.063542878,0.426654791,0.178449876
ANAPC1,0.019051838,0.045506472,0.784532045
ANAPC2,0.027253011,0.088880803,0.67827331
ANAPC4,0.999968218,0.975376913,0
ANAPC5,0.155715851,0.57650269,0.046370133
ANAPC7,0.030890851,0.116463075,0.596095344
ANGEL1,0.025965866,0.067522478,0.752401789
ANGPT1,0.02607172,0.067787598,0.751241945
ANGPT2,0.026658407,0.065302676,0.756923973
ANGPTL1,0.024786768,0.060850248,0.771859994
ANG,0.020299804,0.057621431,0.777830954
ANLN,0.018729292,0.042289645,0.785943553
ANO3,0.020394667,0.054906323,0.779153754
ANP32B,0.728469092,0.990592247,0
ANPEP,0.026455185,0.071882421,0.735909672
ANXA1,0.021232938,0.062939784,0.774198831
ANXA4,0.027123685,0.083827773,0.695037895
ANXA8,0.028127113,0.097700584,0.649152963
AOC2,0.026647394,0.075740092,0.722681741
AOC3,0.026464459,0.071935696,0.735675446
APAF1,0.029313976,0.186216895,0.470002781
APBB1IP,0.025738672,0.063505939,0.764373631
APBB1,0.026571278,0.075434382,0.723875664
APBB2,0.026461528,0.073240024,0.731360662
APC2,0.02174602,0.085109529,0.7078716
APCDD1L,0.033658688,0.185156406,0.464401879
APC,0.020216217,0.062089809,0.77603288
APEX1,0.036376913,0.132028153,0.549806636
APEX2,0.043132689,0.393013498,0.221837802
API5,0.027285026,0.082643091,0.698071304
APLF,0.026548852,0.07254855,0.733391688
APOBEC3A,0.019494379,0.051743014,0.781063798
APOBEC3C,0.041821592,0.30331896,0.2981891
APOBEC4,0.037922901,0.153541122,0.507568515
APOD,0.039927492,0.315249174,0.29006901
APPL1,0.027337443,0.081268208,0.702042393
APPL2,0.026969351,0.077457766,0.715712642
APP,0.027888586,0.091728378,0.666998377
APTX,0.016812305,0.037223148,0.787352638
AQP1,0.02570608,0.062533794,0.766835474
AQR,0.999999998,0.999446071,0
ARAP1,0.057616339,0.075486992,0.629749171
AREG,0.026584423,0.076214256,0.720999801
ARG1,0.026129389,0.067049785,0.753401843
ARG2,0.025756614,0.06418151,0.76258132
ARGLU1,0.774960431,0.948106877,0
ARHGAP11A,0.033041415,0.169492981,0.489023433
ARHGAP20,0.017120401,0.048426169,0.784011034
ARHGAP25,0.034711582,0.148307501,0.52203188
ARHGAP29,0.027213095,0.086146884,0.68740105
ARHGAP35,0.0276775,0.091357328,0.668749015
ARHGEF12,0.028156639,0.097732847,0.648873389
ARHGEF25,0.028621504,0.090211152,0.669495922
ARHGEF40,0.030136739,0.126753769,0.575388383
ARHGEF6,0.035021203,0.184499386,0.463195378
ARHGEF7,0.026003513,0.065568911,0.758072393
ARID1A,0.021734377,0.078601671,0.728973286
ARL2BP,0.026487536,0.071987471,0.735381834
ARL5A,0.029970605,0.112162222,0.607836972
ARL9,0.025974344,0.066660559,0.754953398
ARMC6,0.025854536,0.06546818,0.758749949
ARNT2,0.031294259,0.146480846,0.53249387
ARNT,0.058205946,0.183860832,0.430622636
ARPC1A,0.02800581,0.099465695,0.644191824
ARRDC4,0.026175821,0.068704353,0.747670951
ARSD,0.025471747,0.05983876,0.772464479
ARSJ,0.027408895,0.084081498,0.693436787
AR,0.027157001,0.080894521,0.70372811
ASCC3,0.934822474,0.944931256,0
ASF1A,0.036248514,0.14530506,0.524601091
ASL,0.030520819,0.095450665,0.648624382
ASMT,0.028013355,0.106447755,0.625820099
ASNS,0.023738524,0.133536999,0.574639893
ASPH,0.021976089,0.074926091,0.740785376
ASPM,0.02694527,0.08130332,0.703189023
ASPSCR1,0.034521323,0.156995733,0.507426423
ASTN1,0.02554373,0.061301236,0.769923854
ATF1,0.029656352,0.12372678,0.583176182
ATF2,0.027221125,0.081940643,0.700248858
ATF3,0.0398731,0.233256646,0.386824935
ATF5,0.291721616,0.814605444,0
ATG10,0.031142342,0.101797274,0.630104424
ATG12,0.031846115,0.118363419,0.589345308
ATG14,0.026228776,0.072040456,0.736128759
ATG3,0.026577916,0.076424771,0.720302029
ATG4A,0.027119249,0.078026446,0.713313782
ATG5,0.020819513,0.064029155,0.7731244
ATG7,0.028427007,0.085084615,0.686872204
ATIC,0.026145056,0.068118264,0.750004218
ATOH7,0.025796856,0.063114298,0.765197977
ATP11A,0.026073413,0.066763619,0.754294985
ATP13A1,0.032133398,0.111410347,0.604267609
ATP5D,0.027738535,0.094885311,0.658070966
ATP5J2,0.044284646,0.217588442,0.40128412
ATP6V0A1,0.034002174,0.110928473,0.601216812
ATP6V0A4,0.020389616,0.065061772,0.772237005
ATP6V1D,0.026247615,0.070191433,0.742520406
ATP6V1E1,0.999733332,0.980703585,0
ATP6V1G1,0.999999944,0.992363325,0
ATP6V1G2,0.025806601,0.06311893,0.765165996
ATP6V1G3,0.021338366,0.054199867,0.779028356
ATP8A2,0.026121269,0.068582365,0.748224678
ATRAID,0.02598097,0.067650293,0.751934627
ATRNL1,0.026259428,0.069244237,0.745607639
ATRX,0.396983438,0.977628662,0
ATXN10,0.263112448,0.151803449,0.238822177
ATXN3,0.036434743,0.105352901,0.608573803
AVEN,0.027240665,0.08067206,0.70422493
AVPI1,0.025613577,0.062066252,0.76817613
AXIN1,0.027805265,0.086921208,0.683031451
AXIN2,0.031034539,0.134348476,0.556415375
AZI1,0.026767592,0.074330665,0.726801031
B3GALT4,1,0.276287769,0
B3GAT1,0.019460161,0.051369192,0.781266747
B3GAT3,0.027853459,0.088175958,0.678520724
B3GNT3,0.026853251,0.073621052,0.728627493
B3GNT6,0.026037829,0.067772494,0.751489936
B3GNT7,0.081094334,0.446513624,0.15260212
B4GALT5,0.033921569,0.147288305,0.525124265
B4GALT6,0.025993556,0.067507377,0.752340456
BAAT,0.019974951,0.054973207,0.779375599
BAD,0.031264896,0.125960871,0.574739865
BAGE,0.025646708,0.062483453,0.767075965
BAI1,0.022536415,0.071750054,0.749890883
BAI3,0.030128415,0.117698681,0.594767071
BAK1,0.027591104,0.09113526,0.669788113
BANP,0.018686033,0.041481389,0.786166682
BARD1,0.06036861,0.419362674,0.187273869
BAX,0.026035869,0.066176653,0.756185577
BBC3,0.027474733,0.092905624,0.664561293
BBS4,0.026311943,0.072643556,0.733840738
BCAR1,0.039546305,0.101584978,0.609794617
BCAS1,0.032121298,0.135136821,0.552433656
BCAS2,0.019004635,0.044566876,0.785004917
BCAS3,0.027361599,0.085859594,0.687881828
BCAT1,0.026246391,0.068406427,0.748429858
BCCIP,0.057134861,0.27474172,0.313308145
BCL10,0.026514304,0.072984614,0.732062576
BCL11A,0.030537504,0.118738355,0.591807116
BCL11B,0.024917731,0.081345844,0.709772932
BCL2A1,0.02728382,0.084349652,0.692847056
BCL2L10,0.025909746,0.06582031,0.757517394
BCL2L11,0.035059795,0.23365734,0.391805082
BCL2L12,0.094212515,0.353476864,0.210340166
BCL2L13,0.030548891,0.145822476,0.535487056
BCL2L14,0.018428416,0.053738981,0.780648479
BCL2L1,0.01396898,0.032836325,0.787645084
BCL2L2,0.027800071,0.091436296,0.668400831
BCL2,0.012347632,0.022555486,0.787763976
BCL3,0.027558234,0.086514964,0.68501425
BCL6,0.019096513,0.044315454,0.785091763
BCL7A,0.026145131,0.06877399,0.747580508
BCL7B,0.030600831,0.13154534,0.563593496
BCL9,0.026366474,0.068427554,0.747851602
BCLAF1,0.020572071,0.049421293,0.781653393
BCMO1,0.025773634,0.063633409,0.763942419
BDNF,0.014592519,0.03619361,0.787532819
BEND2,0.026616351,0.074409661,0.727009114
BEX1,0.028115357,0.094100395,0.659170541
BID,0.027055975,0.082241714,0.699857828
BIK,0.02590094,0.066534977,0.755512254
BIN1,0.026152579,0.06883276,0.747334581
BIN3,0.23550763,0.146758127,0.264817178
BIRC3,0.025767457,0.063728523,0.763671858
BIRC5,0.347153183,0.351401401,0.060284212
BIRC6,0.039164405,0.258559265,0.356249952
BIVM,0.251185411,0.083272911,0.310587478
BLM,0.055474634,0.198593409,0.414436273
BLNK,0.027669393,0.090397062,0.671814776
BLOC1S2,0.026080625,0.066558448,0.75491761
BLOC1S3,0.018804963,0.042929569,0.785633367
BMF,0.018733978,0.064445025,0.775292498
BMP2,0.026227714,0.069248186,0.745686829
BMP4,0.019862077,0.072342175,0.756209109
BMP7,0.026184744,0.069569437,0.744665342
BNIP1,0.029575209,0.120787266,0.589023399
BNIP2,0.026339995,0.071167985,0.738606002
BNIP3L,0.032313996,0.098334944,0.63621812
BNIP3,0.02657729,0.074046096,0.728201574
BOD1,0.034234431,0.184924854,0.46371323
BOK,0.025845442,0.065112679,0.759694808
BORA,0.029682307,0.116076861,0.599800334
BPGM,0.030562456,0.1238449,0.580780359
BRAT1,0.028874944,0.101558886,0.636964415
BRCA1,0.066652036,0.630675397,0.061411458
BRCA2,0.039070153,0.221631039,0.403271819
BRCC3,0.026133624,0.068180304,0.749676387
BRD1,0.022685243,0.071974049,0.748404237
BRE,0.026402624,0.070352315,0.741312027
BRIP1,0.039802739,0.615230954,0.080003459
BRMS1,0.082236492,0.318315998,0.250823853
BSG,0.026732091,0.076517832,0.719651221
BTG1,0.028365537,0.110650244,0.613841439
BTG2,0.02570841,0.063442625,0.764674245
BTG3,0.028088898,0.097692983,0.649400945
BTG4,0.028784064,0.116935444,0.599972619
BUB3,0.029759457,0.154170709,0.520901817
C10orf137,0.039794985,0.118227648,0.572981874
C10orf90,0.029690838,0.106022514,0.622867678
C11orf30,0.086964179,0.301280093,0.259105567
C11orf82,0.026151385,0.069302085,0.745713213
C14orf169,0.030555434,0.146598588,0.533684391
C14orf178,0.496260891,0.284469061,0.032878214
C15orf41,0.027345683,0.109015398,0.621332318
C15orf57,0.048862975,0.629126536,0.069771098
C17orf70,0.025732717,0.064008727,0.763008165
C19orf25,0.02250732,0.081587493,0.716689075
C19orf33,0.027702711,0.086064025,0.68615569
C19orf40,0.025680195,0.062487761,0.766981931
C19orf55,0.025906384,0.064660952,0.76084255
C19orf60,0.026023772,0.065142765,0.759115385
C19orf66,0.028355074,0.095061655,0.65548898
C1QL1,0.027543614,0.088221379,0.679529828
C1QTNF9B,0.02272176,0.076098831,0.734332324
C1QTNF9,0.019052061,0.046445943,0.784039981
C1orf159,0.019087926,0.058535639,0.777975688
C1orf64,0.025898693,0.065231322,0.759229292
C20orf96,0.027078379,0.079029699,0.710243116
C22orf29,0.025282497,0.057856561,0.775350303
C2CD4B,0.028640913,0.108512494,0.61871157
C3orf14,0.021537716,0.082828421,0.715908648
C6orf15,0.0329165,0.147276085,0.527138797
C7,0.027192035,0.088137697,0.681087847
C7orf26,0.999999983,0.999988579,0
C7orf31,0.026591954,0.073507355,0.729692528
C7orf43,0.026073202,0.067815779,0.75110524
C7orf50,0.026207916,0.068848707,0.747074996
CAB39,0.021624395,0.096191765,0.672673317
CABLES1,0.018624117,0.040820781,0.786448577
CABLES2,0.026512119,0.075301904,0.724598435
CACNA1F,0.221936994,0.256583655,0.188288317
CACNA1G,0.020538325,0.05575409,0.778516597
CACNA1H,0.019720234,0.053446029,0.780233537
CACNA2D3,0.025770151,0.063432496,0.764513331
CACUL1,0.025261812,0.057975273,0.775215382
CACYBP,0.033154937,0.145693617,0.529962425
CADM1,0.029840231,0.101839044,0.633748476
CADM4,0.026134083,0.067896059,0.750656394
CAD,0.983124073,0.99358603,0
CALCA,0.019326415,0.048569047,0.782707381
CALCR,0.01952794,0.053306517,0.780378251
CAMK2N2,0.026038081,0.068524438,0.748877001
CAMTA1,0.025614983,0.061928611,0.76850569
CAPNS2,0.025773292,0.062930054,0.765718746
CARD10,0.021481438,0.0535995,0.779288805
CARD11,0.321100161,0.085570168,0.244953968
CARD14,0.020437903,0.059791807,0.777002349
CARD16,0.01825327,0.04437219,0.78530433
CARD17,0.025860772,0.065283892,0.759149572
CARD18,0.025374265,0.059283814,0.773457723
CARD6,0.029271009,0.107341749,0.62046411
CARD8,0.020241217,0.087220765,0.705780205
CARD9,0.02839598,0.101174067,0.638880607
CARM1,0.029315935,0.098489292,0.643385016
CARS2,0.110396037,0.932936426,0
CARS,0.999493601,0.999353676,0
CASC5,0.028602616,0.123919008,0.584880587
CASP12,0.022344075,0.05288147,0.779182699
CASP1,0.017107408,0.038048777,0.787213614
CASP3,0.048605009,0.380423102,0.228010385
CASP4,0.028812662,0.113645986,0.60639385
CASP5,0.025468713,0.060074029,0.772018916
CASP8AP2,0.999999769,0.999642403,0
CASP8,0.018255496,0.057198581,0.779095877
CAV1,0.025311549,0.082080145,0.705995045
CBFA2T3,0.059922812,0.289544632,0.295021336
CBFB,0.158683888,0.295286171,0.206635817
CBL,0.083410741,0.210882643,0.359995046
CBX4,0.026137823,0.067843098,0.750793771
CCAR1,0.999258359,0.795585751,0
CCAR2,0.044464408,0.407485427,0.208001824
CCDC103,0.026892976,0.076191167,0.720114031
CCDC176,0.040208753,0.219341873,0.40513359
CCDC6,0.033582608,0.156175879,0.510879637
CCKBR,0.032424889,0.233123321,0.396812698
CCK,0.20768886,0.066078525,0.386123261
CCL18,0.026813184,0.077469193,0.716193091
CCL21,0.02826402,0.10592351,0.626875904
CCL22,0.025551468,0.061759895,0.768997834
CCL2,0.037691021,0.281113057,0.32674261
CCL3,0.026700376,0.078186392,0.714113403
CCL4,0.027289485,0.084372192,0.692803248
CCL5,0.025594251,0.062652638,0.766814533
CCNA1,0.0259159,0.066149958,0.756573099
CCNA2,0.037769467,0.221624653,0.405351774
CCNB1IP1,0.017760322,0.052380508,0.781566377
CCNB1,0.029965969,0.146098493,0.535919553
CCNB2,0.025786696,0.06497551,0.76029302
CCNB3,0.019206939,0.048570222,0.782765381
CCNC,0.403384266,0.992935399,0
CCND1,0.027838831,0.092557558,0.664450639
CCND2,0.029541822,0.117933039,0.595742185
CCND3,0.207010626,0.92660408,0
CCNE1,0.026570788,0.074980177,0.725429898
CCNE2,0.022190574,0.107904199,0.63763957
CCNF,0.02903079,0.111437196,0.610805486
CCNG1,0.028593862,0.095044999,0.654895071
CCNG2,0.020603723,0.064002265,0.773575084
CCNH,0.039616853,0.182827836,0.459276035
CCNI,0.028975264,0.096571552,0.650172803
CCNJ,0.026287267,0.072010368,0.73602658
CCNK,0.999999478,0.997066429,0
CCNL1,0.029621807,0.098646875,0.642149751
CCNO,0.044461257,0.242082736,0.369106157
CCNT1,0.998267724,0.999432217,0
CCNT2,0.02796573,0.08455326,0.69012224
CCNY,0.032121758,0.177764506,0.477443157
CCP110,0.0334015,0.121192897,0.580297051
CCPG1,0.029454166,0.106654732,0.621970788
CCR1,0.025695182,0.063157126,0.765368349
CCZ1B,0.026514604,0.072953038,0.73218414
CCZ1,0.026877063,0.072854521,0.731238074
CD109,0.026499298,0.191073934,0.466795674
CD160,0.026563331,0.079887725,0.70913021
CD180,0.02560847,0.061976853,0.768371951
CD19,0.026594353,0.073852529,0.728658976
CD27,0.043614779,0.192667997,0.438683129
CD28,0.03082428,0.140071412,0.545147554
CD2AP,0.027183403,0.084414575,0.693000242
CD2,0.026670126,0.072733363,0.732441968
CD36,0.016144691,0.035782225,0.787522684
CD38,0.026168983,0.068124061,0.749815242
CD40LG,0.028129947,0.086477677,0.683459047
CD40,0.026941967,0.080183815,0.706927684
CD44,0.029429287,0.155852003,0.518489902
CD5L,0.025546175,0.060715262,0.770851415
CD5,0.026939274,0.080938218,0.704423034
CD70,0.027449411,0.081653938,0.700495112
CD79A,0.025985787,0.065480258,0.758337128
CD99,0.091921367,0.303939296,0.252946928
CD9,0.019314954,0.049492235,0.782204442
CDAN1,0.085034652,0.300040712,0.26171369
CDC123,0.018523613,0.039406659,0.786760856
CDC16,0.027931965,0.099219652,0.645377165
CDC20,0.996020935,0.987778485,0
CDC23,0.027327233,0.084315896,0.692825154
CDC26,0.336717177,0.13279047,0.19473046
CDC27,0.515448086,0.99562237,0
CDC34,0.026362928,0.071048191,0.739074141
CDC37L1,0.029680913,0.103683048,0.628821389
CDC37,0.027037081,0.079951606,0.707275399
CDC42,0.02698835,0.079485399,0.709054343
CDC45,0.013988312,0.036007429,0.787583585
CDC5L,0.59289701,0.366468779,0.001267491
CDC6,0.031941886,0.129782083,0.564284886
CDC73,0.711834963,0.997096809,0
CDCA2,0.028606669,0.10419812,0.630741564
CDCA3,0.988672653,0.998034024,0
CDCA5,0.028479283,0.084106571,0.689942787
CDCA8,0.029785032,0.136313555,0.554687591
CDH11,0.027246834,0.087888527,0.681666941
CDH13,0.027437447,0.086743909,0.684686063
CDH1,0.028403798,0.101866253,0.637268572
CDH2,0.028598685,0.094512144,0.656463219
CDH4,0.031160911,0.104904549,0.622045732
CDIP1,0.01832457,0.051548487,0.781721067
CDIPT,0.0190071,0.044903649,0.784811876
CDK2AP1,0.026066711,0.065189665,0.758909998
CDK5RAP2,0.027135978,0.082577963,0.698697705
CDPF1,0.019591129,0.052185757,0.78085127
CDR1,0.026081071,0.06795949,0.750618891
CDR2,0.034590118,0.218293533,0.416109532
CDT1,0.02578119,0.06494305,0.760416681
CDX2,0.030126798,0.129837319,0.568273275
CEBPA,0.026354845,0.07161097,0.737202266
CEBPB,0.03211712,0.152389601,0.519699277
CEBPG,0.036383548,0.097961438,0.62636719
CENPE,0.036791827,0.171688657,0.480191484
CENPF,0.028901268,0.102849186,0.633367456
CENPI,0.062115355,0.710930718,0.035471043
CENPJ,0.027032543,0.084934033,0.691923794
CENPL,0.02570167,0.063454841,0.764652808
CENPM,0.031231179,0.101088873,0.631797543
CENPN,0.027128964,0.080495584,0.705329619
CENPQ,0.026487597,0.070682297,0.73969484
CENPU,0.025380065,0.059188634,0.77364348
CENPV,0.027347137,0.079006565,0.709376409
CEP128,0.019068348,0.044711184,0.784860139
CEP135,0.038349407,0.307306949,0.297556617
CEP152,0.02623875,0.070513249,0.741339665
CEP192,0.030947266,0.158022431,0.512894681
CEP250,0.032656797,0.176128773,0.479709001
CEP290,0.023530933,0.054145044,0.777946739
CEP350,0.066621111,0.54549749,0.101933801
CEP41,0.027031147,0.084551686,0.693065832
CEP55,0.051031518,0.168359629,0.463540698
CEP57,0.02987467,0.109050467,0.613960151
CEP63,0.030187522,0.122916288,0.583746146
CEP68,0.026470117,0.076200023,0.72142295
CEP70,0.025598062,0.061808222,0.768793077
CEP72,0.05066202,0.172501586,0.458221003
CEP76,0.028180733,0.096693677,0.651916765
CEP78,0.022926562,0.061992787,0.773055647
CES3,0.02761876,0.082135408,0.698447549
CES5A,0.02504799,0.078090712,0.719959979
CETN1,0.026238407,0.069679929,0.744183898
CETN2,0.040014846,0.132619809,0.541939953
CETN3,0.029068981,0.121779918,0.58833169
CFP,0.019724283,0.055782005,0.779057295
CGB5,0.052174649,0.398164478,0.208975986
CGB,0.029840112,0.122667213,0.585021873
CGREF1,0.029134969,0.110675813,0.612090723
CGRRF1,0.02570824,0.063790834,0.763650176
CHAF1A,0.757184048,0.913510427,0
CHAF1B,0.727167105,0.985992843,0
CHAT,0.017990809,0.050225888,0.782543025
CHD8,0.021744943,0.14398075,0.555748615
CHD9,0.028360764,0.167940071,0.498571521
CHFR,0.025455754,0.059963804,0.772296391
CHI3L1,0.02696673,0.077733302,0.714835179
CHIC2,0.028736177,0.103103746,0.63305489
CHL1,0.02557576,0.061476032,0.769517896
CHN1,0.034072974,0.130052824,0.558730917
CHP2,0.028562547,0.099670905,0.64224766
CHPF,0.031510154,0.112674491,0.602706895
CHST12,0.027142904,0.08549946,0.689718088
CHST13,0.026522623,0.071788791,0.735968143
CHST14,0.027811917,0.091074953,0.669282999
CHST1,0.027240821,0.078604956,0.711363041
CHST4,0.020422102,0.064622032,0.772829419
CHST6,0.019624205,0.05213075,0.780860926
CHST7,0.025892374,0.065381684,0.758841438
CHSY3,0.029399884,0.127531156,0.575238932
CIB1,0.029588183,0.118243437,0.594722599
CIC,0.028321744,0.167566275,0.499680801
CIDEA,0.025838587,0.065212977,0.759433951
CIDEB,0.019740057,0.052696033,0.780551956
CIDEC,0.018894441,0.042410219,0.785769063
CIITA,0.02877863,0.101449011,0.637302337
CILP2,0.026467258,0.072683863,0.733091156
CITED2,0.023627632,0.063712535,0.768905753
CKAP2,0.02616943,0.068122423,0.749840464
CKAP5,0.022041197,0.098914534,0.662891674
CLASP1,0.07996553,0.428028604,0.163388968
CLASP2,0.017451449,0.047898777,0.784078582
CLASRP,0.026543194,0.075750289,0.722981496
CLDN3,0.0262863,0.070726664,0.740283664
CLDN4,0.017077271,0.040882333,0.786751072
CLDN5,0.04564316,0.152638795,0.495207891
CLEC2B,0.063621147,0.151976973,0.469918945
CLGN,0.018034374,0.044946617,0.785197967
CLIC2,0.025880409,0.065596063,0.758279641
CLIC5,0.026329349,0.072060622,0.735748704
CLIC6,0.117668651,0.345636676,0.198128763
CLP1,0.148915871,0.111735354,0.403491608
CLSPN,0.041047846,0.387260611,0.229120117
CLTCL1,0.026943204,0.076250145,0.719822864
CLTC,0.075849833,0.811703824,0.009115516
CLU,0.018608467,0.040540871,0.786516713
CLYBL,0.16765969,0.264166223,0.225592748
CMBL,0.026123076,0.067722248,0.751328825
CMYA5,0.032414536,0.169982984,0.48940976
CNBP,0.028669172,0.091258314,0.66626406
CNKSR2,0.027064925,0.077565996,0.71512249
CNOT2,0.031444912,0.175696692,0.482032631
CNOT6L,0.028234634,0.08095812,0.700125523
CNOT8,0.052320886,0.35152855,0.247455161
CNPY4,0.026612387,0.074619986,0.726351354
CNP,0.073560997,0.134301969,0.4808335
CNTF,0.027723699,0.096655383,0.653007203
CNTN1,0.026823179,0.082454712,0.699919654
CNTN3,0.026110064,0.067993652,0.750406075
CNTN4,0.025486734,0.183671894,0.479064107
CNTN5,0.018746753,0.041979295,0.786050162
CNTN6,0.028000737,0.083141327,0.694456267
